Statistics,COPE,COPE,VARCOPE,VARCOPE,z,z,p,p
Contrast,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM
conc_NAA_beta3,0.004498192109167576,-0.004498192109167576,2.8388061764417216e-05,2.8388061764417216e-05,0.8057193160057068,-0.8057193160057068,0.21020235466733078,0.7897976453326692
conc_NAAG_beta0,-0.00029117317171767354,0.00029117317171767354,1.806763521017274e-07,1.806763521017274e-07,-0.6579205989837646,0.6579205989837646,0.7447054232435283,0.2552945767564717
conc_NAAG_beta1,-0.0008328903350047767,0.0008328903350047767,3.009802469478018e-07,3.009802469478018e-07,-1.3941012620925903,1.3941012620925903,0.9183564859345301,0.08164351406546988
conc_NAAG_beta2,0.0006415345706045628,-0.0006415345706045628,5.076717570773326e-07,5.076717570773326e-07,0.8571339845657349,-0.8571339845657349,0.19568542061343985,0.8043145793865601
conc_NAAG_beta3,-0.0008104668813757598,0.0008104668813757598,6.714848495903425e-06,6.714848495903425e-06,-0.3033992648124695,0.3033992648124695,0.6192071970592855,0.38079280294071444
conc_PCh_beta0,-0.0003030496009159833,0.0003030496009159833,3.161998733958171e-07,3.161998733958171e-07,-0.5200792551040649,0.5200792551040649,0.6984958316942345,0.30150416830576554
conc_PCh_beta1,-0.00020560713892336935,0.00020560713892336935,5.756363066211634e-07,5.756363066211634e-07,-0.2630573511123657,0.2630573511123657,0.6037468123002436,0.3962531876997563
conc_PCh_beta2,0.000889766903128475,-0.000889766903128475,2.10838425118709e-06,2.10838425118709e-06,0.590000331401825,-0.590000331401825,0.2775952136632097,0.7224047863367903
conc_PCh_beta3,-0.0006367671303451061,0.0006367671303451061,1.2482513511713478e-07,1.2482513511713478e-07,-1.6210546493530273,1.6210546493530273,0.9474970405598749,0.05250295944012509
conc_PCr_beta0,0.0006901614251546562,-0.0006901614251546562,1.3314411262399517e-06,1.3314411262399517e-06,0.5761633515357971,-0.5761633515357971,0.2822523870425929,0.7177476129574071
conc_PCr_beta1,0.0018785756547003984,-0.0018785756547003984,3.1584067983203568e-06,3.1584067983203568e-06,0.9985018968582153,-0.9985018968582153,0.15901802256300168,0.8409819774369983
conc_PCr_beta2,-0.003950652666389942,0.003950652666389942,1.34393158077728e-05,1.34393158077728e-05,-1.0168540477752686,1.0168540477752686,0.8453885668692005,0.1546114331307995
conc_PCr_beta3,0.0005120767164044082,-0.0005120767164044082,3.802416813414311e-06,3.802416813414311e-06,0.25494393706321716,-0.25494393706321716,0.399383200169662,0.600616799830338
conc_PE_beta0,6.261428643483669e-05,-6.261428643483669e-05,1.7731078969518421e-06,1.7731078969518421e-06,0.04573410749435425,-0.04573410749435425,0.48176108919601446,0.5182389108039855
conc_PE_beta1,-0.0017367757391184568,0.0017367757391184568,2.4696582840988412e-06,2.4696582840988412e-06,-1.0412548780441284,1.0412548780441284,0.8511213638689864,0.1488786361310136
conc_PE_beta2,0.0036889170296490192,-0.0036889170296490192,7.017022198851919e-06,7.017022198851919e-06,1.289608120918274,-1.289608120918274,0.09859337733572443,0.9014066226642756
conc_PE_beta3,0.0011622306192293763,-0.0011622306192293763,2.3635116122022737e-06,2.3635116122022737e-06,0.7241363525390625,-0.7241363525390625,0.23449101435389214,0.7655089856461079
conc_Scyllo_beta0,0.0001725619367789477,-0.0001725619367789477,4.381119111940279e-08,4.381119111940279e-08,0.7874763011932373,-0.7874763011932373,0.2155015480750171,0.7844984519249829
conc_Scyllo_beta1,0.0004089119320269674,-0.0004089119320269674,9.175882809131508e-08,9.175882809131508e-08,1.2535295486450195,-1.2535295486450195,0.10500652619872297,0.894993473801277
conc_Scyllo_beta2,-0.0002354267635382712,0.0002354267635382712,1.9295727327062195e-07,1.9295727327062195e-07,-0.5172483921051025,0.5172483921051025,0.6975086125627211,0.3024913874372789
conc_Scyllo_beta3,0.002432369627058506,-0.002432369627058506,1.0658092151061282e-06,1.0658092151061282e-06,2.024916410446167,-2.024916410446167,0.021437974111297147,0.9785620258887029
conc_Tau_beta0,0.0006965398206375539,-0.0006965398206375539,6.983014486650063e-07,6.983014486650063e-07,0.7958657145500183,-0.7958657145500183,0.2130550455198933,0.7869449544801067
conc_Tau_beta1,1.800915924832225e-05,-1.800915924832225e-05,1.2884361240139697e-06,1.2884361240139697e-06,0.015431911684572697,-0.015431911684572697,0.493843802306059,0.506156197693941
conc_Tau_beta2,-0.0016046514501795173,0.0016046514501795173,2.0323475382610923e-06,2.0323475382610923e-06,-1.0593137741088867,1.0593137741088867,0.8552715480114375,0.1447284519885626
conc_Tau_beta3,0.003915882669389248,-0.003915882669389248,1.1828640708699822e-05,1.1828640708699822e-05,1.0707569122314453,-1.0707569122314453,0.14213937271889993,0.8578606272811
gamma_0,0.031705692410469055,-0.031705692410469055,0.001230260357260704,0.001230260357260704,0.8603746891021729,-0.8603746891021729,0.19479126673753633,0.8052087332624637
gamma_1,-0.16245584189891815,0.16245584189891815,0.02674091048538685,0.02674091048538685,-0.9415042400360107,0.9415042400360107,0.8267767412798496,0.17322325872015043
sigma_0_beta0,-0.5418657660484314,0.5418657660484314,0.001009780215099454,0.001009780215099454,-5.505284786224365,5.505284786224365,0.9999999815714016,1.8428598376615158e-08
sigma_0_beta1,-0.4247245192527771,0.4247245192527771,0.0013531259028241038,0.0013531259028241038,-4.878569602966309,4.878569602966309,0.9999994657102228,5.342897771940711e-07
sigma_0_beta2,0.30592602491378784,-0.30592602491378784,0.09469578415155411,0.09469578415155411,0.9421303272247314,-0.9421303272247314,0.17306295965822804,0.826937040341772
sigma_0_beta3,-0.029306234791874886,0.029306234791874886,0.0006804479635320604,0.0006804479635320604,-1.0574419498443604,1.0574419498443604,0.8548450326380153,0.1451549673619847
sigma_1_beta0,-0.0815652459859848,0.0815652459859848,1.0603618621826172,1.0603618621826172,-0.07703070342540741,0.07703070342540741,0.5307004401374816,0.4692995598625184
sigma_1_beta1,0.6911725997924805,-0.6911725997924805,0.43484658002853394,0.43484658002853394,0.9905495047569275,-0.9905495047569275,0.16095280237912057,0.8390471976208794
sigma_1_beta2,-3.0524520874023438,3.0524520874023438,2.568758010864258,2.568758010864258,-1.6994227170944214,1.6994227170944214,0.9553802176700819,0.044619782329918194
sigma_1_beta3,0.09750505536794662,-0.09750505536794662,0.2615668773651123,0.2615668773651123,0.18525204062461853,-0.18525204062461853,0.42651567644785415,0.5734843235521458
eps_0,-0.005928893573582172,0.005928893573582172,0.00026428376440890133,0.00026428376440890133,-0.3534433841705322,0.3534433841705322,0.6381219670005539,0.3618780329994461
eps_1,0.11719903349876404,-0.11719903349876404,0.007262286730110645,0.007262286730110645,1.274999976158142,-1.274999976158142,0.10115462521498086,0.8988453747850191
Phi_0_0,-7.258211553562433e-05,7.258211553562433e-05,3.2568766528129345e-07,3.2568766528129345e-07,-0.12365071475505829,0.12365071475505829,0.5492040819986199,0.4507959180013801
Phi_1_0,-3.9389900052810844e-07,3.9389900052810844e-07,7.010609540808455e-13,7.010609540808455e-13,-0.45483139157295227,0.45483139157295227,0.6753847277488981,0.32461527225110187
baseline_0,0.0015839646803215146,-0.0015839646803215146,1.3413829265118693e-06,1.3413829265118693e-06,1.2685439586639404,-1.2685439586639404,0.10230188145248548,0.8976981185475146
baseline_1,0.0003838833945337683,-0.0003838833945337683,5.885373184355558e-07,5.885373184355558e-07,0.48341020941734314,-0.48341020941734314,0.31440225026738977,0.6855977497326102
conc_NAA+NAAG_beta0,-0.0005859907250851393,0.0005859907250851393,2.24441720320101e-07,2.24441720320101e-07,-1.156635046005249,1.156635046005249,0.8762892512352067,0.12371074876479321
conc_NAA+NAAG_beta1,-1.2310893907852005e-05,1.2310893907852005e-05,5.257570592220873e-07,5.257570592220873e-07,-0.01651407778263092,0.01651407778263092,0.5065878644133193,0.49341213558668073
conc_NAA+NAAG_beta2,0.0003104917996097356,-0.0003104917996097356,1.382767459290335e-05,1.382767459290335e-05,0.08119943737983704,-0.08119943737983704,0.4676416734730813,0.5323583265269187
conc_NAA+NAAG_beta3,0.003689501667395234,-0.003689501667395234,2.2717806132277474e-05,2.2717806132277474e-05,0.7409307956695557,-0.7409307956695557,0.22936770100642656,0.7706322989935734
conc_Cr+PCr_beta0,4.818959496333264e-06,-4.818959496333264e-06,1.891648366836307e-07,1.891648366836307e-07,0.010776862502098083,-0.010776862502098083,0.4957007371179483,0.5042992628820516
conc_Cr+PCr_beta1,6.852605292806402e-05,-6.852605292806402e-05,3.261819472299976e-07,3.261819472299976e-07,0.11665802448987961,-0.11665802448987961,0.45356552734246397,0.5464344726575361
conc_Cr+PCr_beta2,0.0011980970157310367,-0.0011980970157310367,1.4606102922698483e-06,1.4606102922698483e-06,0.939605712890625,-0.939605712890625,0.1737099224032989,0.826290077596701
conc_Cr+PCr_beta3,-3.06518415982282e-07,3.06518415982282e-07,6.532417501148302e-06,6.532417501148302e-06,-0.00011664881458273157,0.00011664881458273157,0.5000465361439902,0.49995346385600975
conc_PCh+GPC_beta0,-0.00011975443339906633,0.00011975443339906633,3.7127868779407436e-08,3.7127868779407436e-08,-0.5982300043106079,0.5982300043106079,0.7251567631502404,0.27484323684975964
conc_PCh+GPC_beta1,0.00048773965681903064,-0.00048773965681903064,6.580395961464092e-08,6.580395961464092e-08,1.6970127820968628,-1.6970127820968628,0.044847121993470435,0.9551528780065296
conc_PCh+GPC_beta2,-0.0008674982818774879,0.0008674982818774879,1.4064477227293537e-07,1.4064477227293537e-07,-1.9954161643981934,1.9954161643981934,0.9770012453015019,0.02299875469849814
